src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
0.0.0.0,255.255.255.255,68,67,2c:27:d7:d2:06:f5,ff:ff:ff:ff:ff:ff,17,2022-02-23 10:22:24,0.0,0.0,0.0,0.0,0.0,1,0,379,0,379.0,379.0,379.0,0.0,0.0,0.0,0.0,0.0,379,379,379.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,379.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.0,0.0,0,1,0,379,0
172.16.0.1,172.16.0.131,67,68,00:09:12:96:5d:c9,2c:27:d7:d2:06:f5,17,2022-02-23 10:22:24,0.0,0.0,0.0,0.0,0.0,1,0,342,0,342.0,342.0,342.0,0.0,0.0,0.0,0.0,0.0,342,342,342.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,342.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,0.0,0,1,0,342,0
172.16.0.131,224.0.0.252,61063,5355,2c:27:d7:d2:06:f5,01:00:5e:00:00:fc,17,2022-02-23 10:22:24,349616.0,429.04214910072767,5.720561988009703,5.720561988009703,0.0,2,0,150,0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,75,75,75.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,75.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0,2,0,150,0
172.16.0.131,172.16.0.52,49616,53,2c:27:d7:d2:06:f5,00:1e:4f:0e:a8:74,17,2022-02-23 10:22:25,201.0,1611940.2985074627,9950.248756218904,4975.124378109453,4975.124378109453,1,1,128,196,128.0,128.0,128.0,0.0,196.0,196.0,196.0,0.0,196,128,162.0,34.0,1156.0,8,8,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,162.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,196.0,0,1,1,128,196
172.16.0.131,172.16.0.52,56244,53,2c:27:d7:d2:06:f5,00:1e:4f:0e:a8:74,17,2022-02-23 10:22:25,196.0,1020408.1632653062,10204.081632653062,5102.040816326531,5102.040816326531,1,1,92,108,92.0,92.0,92.0,0.0,108.0,108.0,108.0,0.0,108,92,100.0,8.0,64.0,8,8,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,100.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,108.0,0,1,1,92,108
172.16.0.131,172.16.0.52,56246,389,2c:27:d7:d2:06:f5,00:1e:4f:0e:a8:74,17,2022-02-23 10:22:25,396.0,1161616.1616161617,5050.505050505051,2525.2525252525256,2525.2525252525256,1,1,216,244,216.0,216.0,216.0,0.0,244.0,244.0,244.0,0.0,244,216,230.0,14.0,196.0,8,8,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,230.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,244.0,0,1,1,216,244
172.16.0.131,172.16.0.52,49156,88,2c:27:d7:d2:06:f5,00:1e:4f:0e:a8:74,6,2022-02-23 10:22:25,10450.0,89569.37799043063,765.5502392344498,382.7751196172249,382.7751196172249,4,4,476,460,302.0,54.0,119.0,105.76861538282516,286.0,54.0,115.0,98.84836872705588,302,54,117.0,102.38652255057792,10483.0,80,80,20,1,1492.857142857143,8113.0,99.0,2723.6858654913844,10112.0,8288.0,99.0,3370.6666666666665,3539.8770537344312,10275.0,8827.0,147.0,3425.0,3848.734164198233,0,0,0,0,1,0,0,0,0,0,0,1.0,117.0,8192,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,115.0,0,4,4,476,460
172.16.0.131,172.16.0.52,49157,88,2c:27:d7:d2:06:f5,00:1e:4f:0e:a8:74,6,2022-02-23 10:22:25,3770.0,716976.1273209549,2652.5198938992044,1326.2599469496022,1326.2599469496022,5,5,610,2093,382.0,54.0,122.0,130.0830503947382,1514.0,54.0,418.6,563.9643960393245,1514,54,270.3,435.2948540931768,189481.61,100,100,20,1,418.8888888888889,1374.0,8.0,509.7353222658128,3620.0,2001.0,43.0,905.0,874.3534754319903,3619.0,2365.0,8.0,904.75,965.8479111640714,0,0,0,0,1,0,0,0,0,0,0,1.0,270.3,8192,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,418.6,0,5,5,610,2093
172.16.0.131,172.16.0.52,49158,88,2c:27:d7:d2:06:f5,00:1e:4f:0e:a8:74,6,2022-02-23 10:22:25,1962.0,2176860.346585117,6116.207951070336,3058.103975535168,3058.103975535168,6,6,2165,2106,1514.0,54.0,360.8333333333333,532.7639929858457,1514.0,54.0,351.0,532.0698575688472,1514,54,355.9166666666667,532.4397396784811,283492.0763888888,120,120,20,2,178.36363636363637,1119.0,8.0,303.7855920717986,1812.0,1351.0,8.0,362.4,511.40457565414886,1785.0,1119.0,8.0,357.0,397.8683199250728,0,0,0,0,1,0,0,0,0,0,0,1.0,355.9166666666667,8192,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.8333333333333,351.0,0,6,6,2165,2106
172.16.0.131,172.16.0.52,49159,88,2c:27:d7:d2:06:f5,00:1e:4f:0e:a8:74,6,2022-02-23 10:22:25,2051.0,1953681.131155534,5850.804485616773,2925.4022428083863,2925.4022428083863,6,6,1997,2010,1514.0,54.0,332.8333333333333,533.1755235275612,1514.0,54.0,335.0,532.8811624868468,1514,54,333.9166666666667,533.029464215837,284120.40972222225,120,120,20,2,186.45454545454547,1189.0,8.0,323.9577311475186,1920.0,1310.0,8.0,384.0,492.69381972986025,1930.0,1332.0,8.0,386.0,483.5646802652154,0,0,0,0,1,0,0,0,0,0,0,1.0,333.9166666666667,8192,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.8333333333333,335.0,0,6,6,1997,2010
