src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.88.128,192.168.88.129,47720,22,00:0c:29:57:61:e7,00:0c:29:d1:83:30,6,2022-10-19 23:20:58,26935.0,140226.47113421198,445.5169853350659,259.88490811212176,185.63207722294413,7,5,1696,2081,1042.0,82.0,242.28571428571428,326.9153294861855,1146.0,101.0,416.2,410.5744268704518,1146,82,314.75,374.07555497965024,139932.52083333334,140,100,20,7,2448.6363636363635,8406.0,96.0,2905.8738092080534,26935.0,12234.0,229.0,4489.166666666667,4779.184707899687,17253.0,8436.0,1322.0,4313.25,2879.023391273506,0,0,0,0,1,0,0,0,0,0,0,0.7142857142857143,314.75,502,502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.28571428571428,416.2,0,7,5,1696,2081
192.168.88.128,192.168.88.129,47756,22,00:0c:29:57:61:e7,00:0c:29:d1:83:30,6,2022-10-19 23:20:59,21988788.0,240.98645182262888,1.0459876187809898,0.5457326706683424,0.5002549481126473,12,11,2478,2821,1042.0,82.0,206.5,253.0482496810967,1146.0,101.0,256.45454545454544,312.9958941456998,1146,82,230.3913043478261,284.40276692998106,80884.93383742911,240,220,20,12,999490.3636363636,3654125.0,76.0,1625529.5670766816,18334668.0,3668398.0,242.0,1666788.0,1817037.9535624855,21966880.0,3668501.0,1268.0,2196688.0,1788229.34616855,0,0,0,0,1,0,0,0,0,0,0,0.9166666666666666,230.3913043478261,502,502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.5,256.45454545454544,0,12,11,2478,2821
192.168.88.128,192.168.88.129,47736,22,00:0c:29:57:61:e7,00:0c:29:d1:83:30,6,2022-10-19 23:20:59,22004703.0,240.81215729201162,1.0452311035509092,0.5453379670700396,0.4998931364808696,12,11,2478,2821,1042.0,82.0,206.5,253.0482496810967,1146.0,101.0,256.45454545454544,312.9958941456998,1146,82,230.3913043478261,284.40276692998106,80884.93383742911,240,220,20,12,1000213.7727272727,3654511.0,80.0,1625055.5989413501,18350905.0,3665419.0,196.0,1668264.0909090908,1818660.4187526426,21984123.0,3665123.0,1093.0,2198412.3,1789366.5586596308,0,0,0,0,1,0,0,0,0,0,0,0.9166666666666666,230.3913043478261,502,502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.5,256.45454545454544,0,12,11,2478,2821
192.168.88.128,192.168.88.129,47738,22,00:0c:29:57:61:e7,00:0c:29:d1:83:30,6,2022-10-19 23:20:59,22016248.0,240.68587890180015,1.0446829995737692,0.5450519997776188,0.49963099979615055,12,11,2478,2821,1042.0,82.0,206.5,253.0482496810967,1146.0,101.0,256.45454545454544,312.9958941456998,1146,82,230.3913043478261,284.40276692998106,80884.93383742911,240,220,20,12,1000738.5454545454,3654504.0,132.0,1624807.5446066256,18361744.0,3654895.0,413.0,1669249.4545454546,1812283.2894870173,21997212.0,3655110.0,7808.0,2199721.2,1781829.5713904179,0,0,0,0,1,0,0,0,0,0,0,0.9166666666666666,230.3913043478261,502,502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.5,256.45454545454544,0,12,11,2478,2821
192.168.88.128,192.168.88.129,47758,22,00:0c:29:57:61:e7,00:0c:29:d1:83:30,6,2022-10-19 23:20:59,21994855.0,240.91997878594788,1.0456990964477828,0.5455821372771041,0.5001169591706788,12,11,2478,2821,1042.0,82.0,206.5,253.0482496810967,1146.0,101.0,256.45454545454544,312.9958941456998,1146,82,230.3913043478261,284.40276692998106,80884.93383742911,240,220,20,12,999766.1363636364,3656463.0,227.0,1625591.0219974623,18340113.0,3663331.0,345.0,1667283.0,1816576.4603755954,21964594.0,3661610.0,1418.0,2196459.4,1788659.4088013626,0,0,0,0,1,0,0,0,0,0,0,0.9166666666666666,230.3913043478261,502,502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.5,256.45454545454544,0,12,11,2478,2821
192.168.88.128,192.168.88.129,40524,22,00:0c:29:57:61:e7,00:0c:29:d1:83:30,6,2022-10-19 23:21:49,21983004.0,241.04985833601268,1.0462628310489321,0.5458762596777037,0.5003865713712284,12,11,2478,2821,1042.0,82.0,206.5,253.0482496810967,1146.0,101.0,256.45454545454544,312.9958941456998,1146,82,230.3913043478261,284.40276692998106,80884.93383742911,240,220,20,12,999227.4545454546,3654557.0,106.0,1625920.512447354,18328451.0,3665954.0,269.0,1666222.8181818181,1820123.2567715556,21970013.0,3665895.0,905.0,2197001.3,1790800.727203228,0,0,0,0,1,0,0,0,0,0,0,0.9166666666666666,230.3913043478261,502,502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.5,256.45454545454544,0,12,11,2478,2821
192.168.88.128,192.168.88.129,40522,22,00:0c:29:57:61:e7,00:0c:29:d1:83:30,6,2022-10-19 23:21:49,21959115.0,241.31209295092265,1.0474010450785471,0.5464701104757637,0.5009309346027834,12,11,2478,2821,1042.0,82.0,206.5,253.0482496810967,1146.0,101.0,256.45454545454544,312.9958941456998,1146,82,230.3913043478261,284.40276692998106,80884.93383742911,240,220,20,12,998141.5909090909,3654617.0,129.0,1626548.6837284884,18304602.0,3655944.0,209.0,1664054.7272727273,1817773.7809769644,21946334.0,3656014.0,673.0,2194633.4,1788873.4509371645,0,0,0,0,1,0,0,0,0,0,0,0.9166666666666666,230.3913043478261,502,502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.5,256.45454545454544,0,12,11,2478,2821
192.168.88.128,192.168.88.129,40538,22,00:0c:29:57:61:e7,00:0c:29:d1:83:30,6,2022-10-19 23:21:49,21970889.0,241.1827759905391,1.04683975236505,0.5461772621035044,0.5006624902615456,12,11,2478,2821,1042.0,82.0,206.5,253.0482496810967,1146.0,101.0,256.45454545454544,312.9958941456998,1146,82,230.3913043478261,284.40276692998106,80884.93383742911,240,220,20,12,998676.7727272727,3654460.0,101.0,1626204.5230113957,18316624.0,3667832.0,330.0,1665147.6363636365,1819005.8768952629,21958067.0,3667703.0,881.0,2195806.7,1789857.1249079658,0,0,0,0,1,0,0,0,0,0,0,0.9166666666666666,230.3913043478261,502,502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.5,256.45454545454544,0,12,11,2478,2821
192.168.88.128,192.168.88.129,40548,22,00:0c:29:57:61:e7,00:0c:29:d1:83:30,6,2022-10-19 23:21:49,21964538.0,241.2525134833248,1.0471424438793113,0.546335188110945,0.5008072557683663,12,11,2478,2821,1042.0,82.0,206.5,253.0482496810967,1146.0,101.0,256.45454545454544,312.9958941456998,1146,82,230.3913043478261,284.40276692998106,80884.93383742911,240,220,20,12,998388.0909090909,3654581.0,79.0,1626170.4451833486,18311141.0,3663876.0,202.0,1664649.1818181819,1819094.4352239869,21955261.0,3664456.0,692.0,2195526.1,1789642.3588948965,0,0,0,0,1,0,0,0,0,0,0,0.9166666666666666,230.3913043478261,502,502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.5,256.45454545454544,0,12,11,2478,2821
192.168.88.128,192.168.88.129,39996,22,00:0c:29:57:61:e7,00:0c:29:d1:83:30,6,2022-10-19 23:22:39,18307808.0,289.4393474084937,1.2562945820712124,0.6554580428197629,0.6008365392514494,12,11,2478,2821,1042.0,82.0,206.5,253.0482496810967,1146.0,101.0,256.45454545454544,312.9958941456998,1146,82,230.3913043478261,284.40276692998106,80884.93383742911,240,220,20,12,832173.0909090909,3654241.0,102.0,1427658.8896883505,14654292.0,3664008.0,354.0,1332208.3636363635,1575219.2094667202,18299314.0,3663871.0,1742.0,1829931.4,1633497.2462505836,0,0,0,0,1,0,0,0,0,0,0,0.9166666666666666,230.3913043478261,502,502,0.0,0.0,0.0,0.0,1827302.0,1826213.0,1826818.0,452.7405437996469,0.0,0.0,0.0,0.0,0.0,0.0,206.5,256.45454545454544,0,12,11,2478,2821
